City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Mangai,CD,2020-06-16 06:13:36,-4.05,19.53,69.35,58,30,3.0
70,Castro,BR,2020-06-16 06:13:36,-24.79,-50.01,56.46,89,92,8.63
71,Qaanaaq,GL,2020-06-16 06:13:36,77.48,-69.36,29.71,92,0,0.76
72,Jamestown,US,2020-06-16 06:13:37,42.1,-79.24,55.4,62,1,5.82
73,Pakxan,LA,2020-06-16 06:13:37,18.38,103.66,78.42,89,100,4.03
74,Cedartown,US,2020-06-16 06:11:01,34.05,-85.25,66.0,88,0,5.82
75,Maumere,ID,2020-06-16 06:13:37,-8.62,122.21,83.91,68,34,6.42
76,Rikitea,PF,2020-06-16 06:13:38,-23.12,-134.97,75.67,84,100,10.85
77,Xuddur,SO,2020-06-16 06:13:38,4.12,43.89,77.9,61,75,22.5
78,Marawi,PH,2020-06-16 06:13:39,8.0,124.29,84.0,79,8,8.99
79,Saint-Pierre,RE,2020-06-16 06:13:39,-21.34,55.48,73.4,60,3,20.8
80,Alyangula,AU,2020-06-16 06:13:39,-13.85,136.42,84.2,54,40,10.29
81,Cordoba,AR,2020-06-16 06:09:17,-31.41,-64.18,53.01,66,16,8.05
82,Tiksi,RU,2020-06-16 06:13:40,71.69,128.87,59.72,56,82,22.39
83,Bandarbeyla,SO,2020-06-16 06:13:40,9.49,50.81,87.58,51,41,30.42
84,San Pedro,PH,2020-06-16 06:13:40,14.35,121.02,93.2,59,40,10.29
85,Thinadhoo,MV,2020-06-16 06:13:41,0.53,72.93,84.18,77,50,11.74
86,Dikson,RU,2020-06-16 06:13:41,73.51,80.55,32.72,98,31,12.35
87,Bulungu,CD,2020-06-16 06:13:41,-4.55,18.6,68.59,61,3,3.22
88,Sal Rei,CV,2020-06-16 06:13:41,16.18,-22.92,77.0,94,9,5.82
89,Hobart,AU,2020-06-16 06:13:25,-42.88,147.33,44.6,70,40,25.28
90,Xinzhou,CN,2020-06-16 06:13:42,38.41,112.73,78.82,39,100,15.82
91,Filotion,GR,2020-06-16 06:13:42,37.05,25.5,78.01,83,0,3.36
92,Novo Aripuana,BR,2020-06-16 06:13:42,-5.12,-60.38,73.24,82,24,1.54
93,Sur,OM,2020-06-16 06:13:43,22.57,59.53,101.3,32,88,2.13
94,Upington,ZA,2020-06-16 06:13:43,-28.45,21.26,33.8,34,0,8.72
95,Fairbanks,US,2020-06-16 06:10:01,64.84,-147.72,62.6,77,40,5.82
96,Salalah,OM,2020-06-16 06:13:44,17.02,54.09,86.0,84,75,6.93
97,Pisco,PE,2020-06-16 06:13:44,-13.7,-76.22,64.4,82,90,5.82
98,Kirakira,SB,2020-06-16 06:13:44,-10.45,161.92,82.42,78,99,12.73
99,Ponta Do Sol,PT,2020-06-16 06:13:45,32.67,-17.1,69.8,83,20,2.24
100,Sioux Lookout,CA,2020-06-16 06:13:45,50.1,-91.92,64.4,72,75,11.41
101,Riyadh,SA,2020-06-16 06:13:28,24.69,46.72,96.8,18,0,3.36
102,Porto Novo,BJ,2020-06-16 06:13:45,6.5,2.6,80.6,88,40,10.29
103,Georgetown,MY,2020-06-16 06:13:45,5.41,100.34,89.6,79,20,6.93
104,Saint-Philippe,RE,2020-06-16 06:13:46,-21.36,55.77,73.4,60,49,20.8
105,Umm Lajj,SA,2020-06-16 06:13:46,25.02,37.27,85.68,45,0,12.93
106,Pathein,MM,2020-06-16 06:13:46,16.78,94.73,83.61,77,99,7.56
107,Alofi,NU,2020-06-16 06:13:47,-19.06,-169.92,73.4,60,13,19.46
108,Tamala,RU,2020-06-16 06:13:47,52.54,43.25,65.48,70,19,8.37
109,Nikolskoye,RU,2020-06-16 06:13:47,59.7,30.79,77.0,57,4,2.24
110,Hukuntsi,BW,2020-06-16 06:13:47,-24.0,21.75,41.22,60,0,6.64
111,Shitanjing,CN,2020-06-16 06:13:48,39.23,106.34,77.09,29,98,6.38
112,Effingham,US,2020-06-16 06:13:48,32.37,-81.33,66.2,77,90,14.99
113,Antalaha,MG,2020-06-16 06:13:49,-14.9,50.28,72.54,86,99,10.6
114,Nuevo Progreso,MX,2020-06-16 06:13:49,23.17,-97.95,75.99,74,3,2.89
115,Bethel,US,2020-06-16 06:12:22,41.37,-73.41,55.0,87,1,3.36
116,Kruisfontein,ZA,2020-06-16 06:13:49,-34.0,24.73,49.66,93,30,3.91
117,Baherden,TM,2020-06-16 06:13:50,38.44,57.43,96.8,13,55,9.95
118,Aklavik,CA,2020-06-16 06:13:50,68.22,-135.01,69.8,30,90,10.29
119,Mataura,NZ,2020-06-16 06:13:51,-46.19,168.86,49.84,83,100,4.38
