City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
769,Fort-Shevchenko,KZ,88.23,broken clouds,44.51,50.26,Oasis hotel Bautino
778,Acarau,BR,75.63,clear sky,-2.89,-40.12,castelo pizzaria
779,Mlonggo,ID,89.6,few clouds,-6.53,110.7,Asia Metal Art
784,Tovuz,AZ,77.0,scattered clouds,40.99,45.63,Tovuz Olimpiya Idman Kompleksi
785,Pochutla,MX,81.0,overcast clouds,15.74,-96.47,Hotel Posada San Jose
786,La Brea,HN,78.1,clear sky,15.8,-85.97,Hotel reynita
787,Verkhoyansk,RU,89.64,few clouds,67.54,133.38,
788,Lumphat,KH,89.83,broken clouds,13.49,106.98,Lumphat Homestay
792,Ponorogo,ID,86.18,few clouds,-7.87,111.46,OYO 1190 Ndalem Katong Residence
796,Pringsewu,ID,87.46,broken clouds,-5.36,104.97,Urban Style by Front One
798,Tual,ID,80.49,broken clouds,-5.67,132.75,Grand Vilia Hotel
802,Payakumbuh,ID,87.82,broken clouds,-0.22,100.63,OYO 3114 Homestay Dalimo
803,Nanakuli,US,82.4,overcast clouds,21.39,-158.15,Camp Palehua
809,Ewa Beach,US,82.4,broken clouds,21.32,-158.01,Parkside By Gentry
